id;kata_slang;kata_benar
1;7an;tujuan
2;@;di
3;ababil;abg labil
4;abis;habis
5;acc;accord
6;ad;ada
7;adlah;adalah
8;adlh;adalah
9;adoh;aduh
10;afaik;as far as i know
11;aha;tertawa
12;ahaha;haha
13;aing;saya
14;aj;saja
15;aja;saja
16;ajep-ajep;dunia gemerlap
17;ajj;saja
18;ak;saya
19;aka;dikenal juga sebagai
20;akika;aku
21;akko;aku
22;akkoh;aku
23;akku;aku
24;akuwh;aku
25;akyu;aku
26;alay;norak
27;aljasa;asal jadi saja
28;alow;halo
29;ama;sama
30;ambilin;ambilkan
31;ambl;ambil
32;ancur;hancur
33;anjir;anjing
34;anjrit;anjing
35;ank;anak
36;anter;antar
37;ap;apa
38;ap2;apa-apa
39;apaan;apa
40;apasih;apa sih
41;ape;apa
42;apes;sial
43;aplot;unggah
44;aps;apa
45;apva;apa
46;aq;saya
47;aqu;aku
48;aquwh;aku
49;asap;sesegera mungkin
50;asbun;asal bunyi
51;aseek;asyik
52;aseekk;asyik
53;asek;asyik
54;asekk;asyik
55;aseknya;asyiknya
56;asem;asam
57;asoy;asyik
58;aspal;asli tetapi palsu
59;astrojim;astagfirullahaladzim
60;astul;asal tulis
61;ath;kalau begitu
62;ato;atau
63;atuh;kalau begitu
64;au ah;tidak mau tahu
65;ava;avatar
66;awak;saya
67;aws;awas
68;ay;sayang
69;ayang;sayang
70;ayank;sayang
71;ayok;ayo
72;b4;sebelum
73;bacot;banyak bicara
74;bakalan;akan
75;bales;balas
76;bandes;bantuan desa
77;bangdes;pembangunan desa
78;bangedh;banget
79;bangkotan;tua
80;banpol;bantuan polisi
81;banpres;bantuan presiden
82;banpur;bantuan tempur
83;bansarkas;bantuan sarana kesehatan
84;basbang;basi
85;bazis;badan amal, zakat, infak, dan sedekah
86;bcanda;bercanda
87;bcoz;karena
88;bdg;bandung
89;beb;sayang
90;begajulan;nakal
91;bejibun;banyak
92;beliin;belikan
93;belom;belum
94;bencong;banci
95;bener;benar
96;bentar;sebentar
97;ber2;berdua
98;ber3;bertiga
99;berdikari;berdiri di atas kaki sendiri
100;beresin;membereskan
101;bet;banget
102;bete;bosan
103;beti;beda tipis
104;beud;banget
105;beut;banget
106;bg;abang
107;bgd;banget
108;bgmn;bagaimana
109;bgs;bagus
110;bgt;banget
111;bhubu;tidur
112;bijimane;bagaimana
113;bimbuluh;bimbingan dan penyuluhan
114;bintal;bimbingan mental
115;bisi;kalau-kalau
116;bkl;akan
117;bkn;bukan
118;bknnya;bukannya
119;bl;beli
120;blegug;bodoh
121;blg;bilang
122;blh;boleh
123;blm;belum
124;bln;bulan
125;bls;balas
126;blum;belum
127;bnchi;benci
128;bnci;benci
129;bngung;bingung
130;bnran;yang benar
131;bnyk;banyak
132;bodor;lucu
133;bohay;badan aduhai
134;bokap;ayah
135;bokep;video porno
136;boker;buang air besar
137;bokin;pacar
138;bokis;bohong
139;bole;boleh
140;boljug;boleh juga
141;bolot;bodoh
142;bonek;bocah nekat
143;bonyok;ayah ibu
144;boyeh;boleh
145;bpk;bapak
146;br;baru
147;brb;segera kembali
148;brg;bareng
149;brngkt;berangkat
150;bro;saudara laki-laki
151;brp;berapa
152;bru;baru
153;brur;saudara laki-laki
154;bs;bisa
155;bsa;bisa
156;bsen;bosan
157;bsk;besok
158;bt;bosan sekali
159;bt;buat
160;btw;ngomong-ngomong
161;bu_bu;tidur
162;buaya;tidak setia
163;bubarin;bubarkan
164;bubbu;tidur
165;buber;buka bersama
166;bubu;tidur
167;bujubune;luar biasa
168;bumil;ibu hamil
169;buser;buru sergap
170;bw;bawa
171;bwhn;bawahan
172;bwt;buat
173;byar;bayar
174;byk;banyak
175;byr;bayar
176;byrin;bayarkan
177;c8;chat
178;cabal;sabar
179;cabut;pergi
180;cadas;keren
181;caem;cakep
182;calo;makelar
183;cama-cama;sama-sama
184;can;belum
185;cangcut;celana dalam
186;capcus;pergi
187;cape;capek
188;caper;cari perhatian
189;caur;jelek
190;ce;cewek
191;cekak;tidak ada uang
192;cekal;cegah tangkal
193;cekidot;coba lihat
194;cemen;penakut
195;cemplungin;cemplungkan
196;cengengesan;tertawa
197;ceper;pendek
198;cepet;cepat
199;ceu;kakak perempuan
200;cew;cewek
201;cewe;cewek
202;chuyunk;sayang
203;cibuk;sibuk
204;cimeng;ganja
205;cin;cinta
206;cipika cipiki;cium pipi kanan cium pipi kiri
207;ciye;cie
208;ciyh;sih
209;ckck;ck
210;ckepp;cakep
211;ckp;cakep
212;ckp;cukup
213;clbk;cinta lama bersemi kembali
214;cmiiw;correct me if i'm wrong
215;cmpr;campur
216;cmpur;campur
217;cnenk;senang
218;cong;banci
219;congor;mulut
220;conlok;cinta lokasi
221;cow;cowok
222;cowwyy;maaf
223;coz;karena
224;cp;siapa
225;cpa;siapa
226;ngeri;seram
227;cpe;capek
228;cppa;siapa
229;cppe;capek
230;cr;cara
231;cucok;cocok
232;cuek;tidak acuh
233;cuex;cuek
234;cuman;Cuma
235;cumi;Cuma miscall
236;cungkring;kurus tinggi
237;cups;culun
238;cupu;culun
239;curanmor;pencurian kendaraan bermotor
240;curas;pencurian dengan kekerasan
241;curcol;curahan hati colongan
242;curhat;curahan hati
243;cwek;cewek
244;cwok;cowok
245;cyin;cinta
246;cz;karena
247;d;di
248;dagh;sudah
249;dah;deh
250;damang;sehat
251;dapet;dapat
252;dateng;datang
